id_dec,length,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
339,8,00,00,00,FF,00,FF,C0,BE
672,8,48,00,8E,1C,B5,09,7D,03
688,5,E9,FF,00,07,CC
848,8,00,6B,91,94,96,00,00,F8
880,8,00,20,00,80,00,00,00,00
1087,8,00,40,61,FF,6E,C3,09,00
356,8,00,08,00,00,00,00,0A,02
1264,8,80,00,5E,00,00,39,3C,0F
880,8,00,20,00,80,00,00,00,00
688,5,E9,FF,00,07,88
544,8,8E,03,FF,C7,0C,00,4A,10
304,8,92,80,00,FF,88,7C,0E,98
544,8,8F,03,FF,C7,0C,00,48,10
1264,8,80,00,68,00,00,39,3C,0F
672,8,08,00,8E,1C,B5,09,7D,03
320,8,00,00,00,00,0C,21,24,CA
2,8,00,00,00,00,00,09,06,52
608,8,24,3C,3B,30,25,9E,63,12
320,8,00,00,00,00,16,00,29,65
1435,8,00,00,00,00,00,00,00,4C
809,8,86,BA,7E,10,11,20,00,12
304,8,90,80,00,FF,7F,7C,0E,20
1088,8,FF,00,00,00,FF,F6,09,00
672,8,68,00,8E,1C,B5,09,7D,03
848,8,00,6B,A1,94,96,00,00,C8
688,5,E9,FF,00,07,44
880,8,00,20,00,80,00,00,00,00
790,8,45,3C,98,0A,3C,39,00,73
497,8,00,00,00,00,00,00,00,00
357,8,FE,F7,7F,00,00,00,00,76
356,8,00,08,00,00,00,00,01,09
544,8,8F,03,FF,C7,0C,00,48,10
1264,8,80,00,88,00,00,39,3C,0F
1349,8,D8,6D,00,89,00,00,00,00
544,8,8E,03,FF,C7,0C,00,48,10
320,8,00,00,00,00,12,21,25,C6
848,8,00,6B,41,94,96,00,00,28
898,8,00,00,00,00,00,00,00,88
320,8,00,00,00,00,04,25,2A,4D
1264,8,80,00,94,00,00,39,3C,0F
1349,8,D8,00,00,8A,00,00,00,00
356,8,00,08,00,00,00,00,03,0B
848,8,00,6B,91,94,96,00,00,F8
688,5,E9,FF,00,07,44
1264,8,80,00,9C,00,00,39,3C,0F
1440,8,00,00,00,00,00,00,00,00
356,8,00,08,00,00,00,00,0B,03
848,8,00,6B,D1,94,96,00,00,B8
1088,8,FF,00,00,00,FF,33,0A,00
320,8,00,00,00,00,1E,00,2C,00
497,8,00,00,00,00,00,00,00,00
688,5,E9,FF,00,07,22
1201,8,01,00,00,00,00,00,00,01
848,8,00,6B,21,94,96,00,00,48
320,8,00,00,00,00,02,00,24,FA
1087,8,00,40,61,FF,6E,3A,0A,00
320,8,00,00,00,00,02,00,27,DD
1264,8,80,00,B2,00,00,39,3C,0F
880,8,00,20,00,80,00,00,00,00
399,8,FA,69,00,00,00,44,00,20
320,8,00,00,00,00,0E,20,2E,57
544,8,8E,03,FF,C7,0C,00,48,10
880,8,00,20,00,80,00,00,00,00
2,8,00,00,00,00,00,03,03,F9
1265,8,08,17,00,00,00,00,00,00
1087,8,00,40,61,FF,6E,56,0A,00
544,8,8E,03,FF,C7,0C,00,4A,10
497,8,00,00,00,00,00,00,00,00
305,8,00,80,00,00,F1,7B,0B,C7
399,8,FA,69,00,00,00,44,00,20
848,8,00,6B,01,94,96,00,00,68
1200,8,01,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
544,8,8D,03,FF,C7,0C,00,48,10
305,8,00,80,00,00,02,7C,05,9C
880,8,00,20,00,80,00,00,00,00
790,8,45,3A,F8,0A,3A,39,00,73
2,8,00,00,00,00,00,07,0A,21
1088,8,FF,00,00,00,FF,6D,0A,00
320,8,00,00,00,00,02,00,2D,0F
1088,8,FF,00,00,00,FF,6F,0A,00
880,8,00,20,00,80,00,00,00,00
304,8,96,80,00,FF,88,7C,02,6D
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
688,5,E9,FF,00,07,00
544,8,91,03,FF,C7,0C,00,48,10
1088,8,FF,00,00,00,FF,5C,0A,00
809,8,40,BA,7E,10,11,20,00,12
320,8,00,00,00,00,08,0E,2F,D5
2,8,00,00,00,00,00,08,01,4D
809,8,40,BA,7E,10,11,20,00,12
320,8,00,00,00,00,12,0D,24,D9
1349,8,D8,00,00,89,00,00,00,00
672,8,28,00,8E,1C,B5,09,7D,03
672,8,68,00,8E,1C,B5,09,7D,03
1264,8,80,00,F6,00,00,39,3C,0F
1264,8,80,00,F8,00,00,39,3C,0F
672,8,08,00,8E,1C,B5,09,7D,03
848,8,00,6B,91,94,96,00,00,F8
1088,8,FF,00,00,00,FF,1C,0A,00
672,8,28,00,8E,1C,B5,09,7D,03
544,8,8F,03,FF,C7,0C,00,48,10
1440,8,00,00,00,00,00,00,00,00
1349,8,D8,00,00,89,00,00,00,00
497,8,00,00,00,00,00,00,00,00
320,8,00,00,00,00,06,26,2B,87
304,8,99,80,00,FF,75,7C,0D,87
809,8,40,BA,7E,10,11,20,00,12
704,8,3D,00,00,00,00,00,00,00
1264,8,80,00,0E,00,00,39,3C,0F
497,8,00,00,00,00,00,00,00,00
688,5,E9,FF,00,07,00
880,8,00,20,00,80,00,00,00,00
672,8,68,00,8E,1C,B5,09,7D,03
2,8,00,00,00,00,00,00,0A,D8
1264,8,80,00,18,00,00,39,3C,0F
1349,8,D8,00,00,89,00,00,00,00
672,8,48,00,8E,1C,B5,09,7D,03
544,8,90,03,FF,C7,0C,00,48,10
1349,8,D8,00,00,89,00,00,00,00
356,8,00,08,00,00,00,00,08,00
357,8,FD,F7,7F,00,00,00,07,72
1264,8,80,00,24,00,00,39,3C,0F
1349,8,D8,00,00,89,00,00,00,00
544,8,8F,03,FF,C7,0C,00,48,10
688,5,E9,FF,00,07,99
1349,8,D8,6A,00,89,00,00,00,00
320,8,00,00,00,00,14,26,2F,E8
356,8,00,08,00,00,00,00,05,0D
1435,8,00,00,00,00,00,00,00,88
339,8,00,00,00,FF,00,FF,C0,BE
305,8,00,80,00,00,11,7C,06,2F
1088,8,FF,00,00,00,FF,CC,09,00
790,8,45,3C,58,0A,3C,38,00,73
544,8,91,03,FF,C7,0C,00,48,10
544,8,90,03,FF,C7,0C,00,48,10
399,8,FA,69,00,00,00,44,00,20
688,5,E9,FF,00,07,EE
1088,8,FF,00,00,00,FF,BC,09,00
399,8,FA,69,00,00,00,44,00,20
544,8,90,03,FF,C7,0C,00,48,10
1435,8,00,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
497,8,00,00,00,00,00,00,00,00
848,8,00,6B,F1,94,96,00,00,98
1201,8,01,00,00,00,00,00,00,01
672,8,68,00,8E,1C,B5,09,7D,03
320,8,00,00,00,00,06,20,20,FD
880,8,00,20,00,80,00,00,00,00
399,8,FA,69,00,00,00,44,00,20
356,8,00,08,00,00,00,00,09,01
1088,8,FF,00,00,00,FF,DA,09,00
339,8,00,00,00,FF,00,FF,30,2E
320,8,00,00,00,00,06,32,2A,03
497,8,00,00,00,00,00,00,00,00
1264,8,80,00,5C,00,00,39,3C,0F
1201,8,01,00,00,00,00,00,00,01
544,8,8E,03,FF,C7,0C,00,48,10
1200,8,01,00,00,00,00,00,00,00
399,8,FA,69,00,00,00,44,00,20
339,8,00,00,00,FF,00,FF,10,0E
356,8,00,08,00,00,00,00,0B,03
608,8,24,3C,3B,30,25,9E,62,22
688,5,E9,FF,00,07,CC
1349,8,D8,00,00,89,00,00,00,00
320,8,00,00,00,00,10,33,2D,01
848,8,00,6B,11,94,96,00,00,78
1264,8,80,00,70,00,00,39,3C,0F
320,8,00,00,00,00,1A,13,22,C0
1349,8,D8,6D,00,89,00,00,00,00
1349,8,D8,00,00,8A,00,00,00,00
356,8,00,08,00,00,00,00,0B,03
544,8,91,03,FF,C7,0C,00,48,10
1349,8,D8,00,00,89,00,00,00,00
688,5,E9,FF,00,07,FF
790,8,45,3C,94,0A,3C,39,00,73
497,8,00,00,00,00,00,00,00,00
304,8,92,80,00,FF,83,7C,01,A3
848,8,00,6B,B1,94,96,00,00,D8
704,8,3D,00,00,00,00,00,00,00
688,5,E9,FF,00,07,AA
544,8,8E,03,FF,C7,0C,00,48,10
320,8,00,00,00,00,16,00,29,65
1087,8,00,40,61,FF,6E,16,0A,00
320,8,00,00,00,00,02,00,2C,12
356,8,00,08,00,00,00,00,02,0A
1087,8,00,40,61,FF,6E,1C,0A,00
544,8,8F,03,FF,C7,0C,00,48,10
809,8,86,BA,7E,10,11,20,00,12
790,8,45,3B,AC,0A,3B,38,00,73
1200,8,01,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
544,8,90,03,FF,C7,09,00,48,10
1349,8,D8,00,00,89,00,00,00,00
305,8,08,80,00,00,01,7C,01,B6
1201,8,01,00,00,00,00,00,00,01
809,8,0F,BA,7E,10,11,20,00,12
790,8,45,3B,C8,0A,3B,38,00,73
1349,8,D8,00,00,89,00,00,00,00
672,8,48,00,8E,1C,B5,09,7D,03
848,8,00,6B,01,94,96,00,00,68
320,8,00,00,00,00,02,21,2E,11
304,8,92,80,00,FF,89,7C,00,B1
356,8,00,08,00,00,00,00,06,0E
1088,8,FF,00,00,00,FF,39,0A,00
497,8,00,00,00,00,00,00,00,00
497,8,00,00,00,00,00,00,00,00
880,8,00,20,00,80,00,00,00,00
305,8,00,80,00,00,11,7C,0B,AE
1201,8,01,00,00,00,00,00,00,01
1349,8,D8,00,00,89,00,00,00,00
672,8,28,00,8E,1C,B5,09,7D,03
399,8,FA,69,00,00,00,44,00,20
544,8,90,03,FF,C7,0C,00,4D,10
848,8,00,6B,D1,94,96,00,00,B8
1442,4,29,00,00,00
305,8,F8,7F,00,00,D7,7B,0A,9D
880,8,00,20,00,80,00,00,00,00
880,8,00,20,00,80,00,00,00,00
339,8,00,00,00,FF,00,FF,20,1E
608,8,23,3A,39,30,25,9F,60,28
1265,8,08,17,00,00,00,00,00,00
672,8,48,00,8E,1C,B5,09,7D,03
356,8,00,08,00,00,00,00,0B,03
